Anomaly Monthly TAVG,Unc. Monthly TAVG,Anomaly Annual TAVG,Unc. Annual TAVG,dt,Anomaly Monthly TMAX,Unc. Monthly TMAX,Anomaly Annual TMAX,Unc. Annual TMAX,Anomaly Monthly TMIN,Unc. Monthly TMIN,Anomaly Annual TMIN,Unc. Annual TMIN,Anomaly Monthly TAIR,Unc. Monthly TAIR,Anomaly Annual TAIR,Unc. Annual TAIR,Anomaly Monthly TWAT,Unc. Monthly TWAT,Anomaly Annual TWAT,Unc. Annual TWAT
-1.846,1.048,-0.765,0.534,1850-01-01,-1.267,2.541,-0.696,0.984,-1.351,4.892,-0.829,0.626,-0.769,0.367,NaN,NaN,-0.728,0.324,NaN,NaN
-0.101,1.577,-0.724,0.529,1850-02-01,0.822,2.784,-0.657,0.975,-0.486,2.279,-0.808,0.624,-0.227,0.505,NaN,NaN,-0.219,0.469,NaN,NaN
-0.484,0.905,-0.693,0.513,1850-03-01,-1.395,1.771,-0.69,0.975,-1.574,1.76,-0.857,0.629,-0.374,0.308,NaN,NaN,-0.404,0.285,NaN,NaN
-1.103,1.098,-0.764,0.528,1850-04-01,-0.871,2.385,-0.713,0.928,-1.242,1.585,-0.898,0.644,-0.591,0.384,NaN,NaN,-0.549,0.333,NaN,NaN
-1.317,0.762,-0.865,0.508,1850-05-01,-0.672,2.057,-0.827,0.894,-1.126,1.81,-1.027,0.655,-0.623,0.277,NaN,NaN,-0.581,0.24,NaN,NaN
-0.485,0.836,-0.818,0.521,1850-06-01,-0.38,1.188,-0.704,0.9,-0.462,1.11,-0.973,0.675,-0.359,0.311,-0.452,0.194,-0.357,0.258,-0.431,0.176
0.03,0.717,-0.669,0.506,1850-07-01,-0.612,1.401,-0.545,0.923,-0.379,0.85,-0.863,0.827,-0.184,0.276,-0.402,0.188,-0.208,0.227,-0.389,0.172
0.031,0.715,-0.717,0.457,1850-08-01,-0.348,1.823,-0.562,1.033,-0.533,1.203,-0.82,0.698,-0.168,0.28,-0.419,0.174,-0.189,0.225,-0.403,0.159
-0.713,0.615,-0.774,0.468,1850-09-01,-1.678,1.883,-0.496,1.062,-1.591,1.97,-0.764,0.606,-0.429,0.249,-0.434,0.177,-0.402,0.199,-0.417,0.162
-1.264,0.841,-0.769,0.456,1850-10-01,-1.256,1.985,-0.391,1.039,-1.187,2.631,-0.668,0.552,-0.607,0.319,-0.437,0.174,-0.565,0.26,-0.42,0.159
-1.431,0.993,-0.685,0.475,1850-11-01,-0.563,1.551,-0.456,1.081,-1.151,1.082,-0.662,0.481,-0.589,0.36,-0.412,0.18,-0.505,0.302,-0.4,0.163
-1.123,0.859,-0.669,0.461,1850-12-01,-0.267,3.216,-0.537,1.268,-0.591,1.679,-0.705,0.482,-0.501,0.306,-0.404,0.175,-0.469,0.266,-0.393,0.16
-0.063,1.001,-0.672,0.45,1851-01-01,0.644,2.351,-0.643,1.405,-0.035,1.848,-0.761,0.535,-0.177,0.347,-0.407,0.172,-0.217,0.305,-0.397,0.158
-0.668,1.11,-0.703,0.441,1851-02-01,0.618,2.469,-0.794,1.33,0.033,3.532,-0.839,0.569,-0.421,0.373,-0.42,0.17,-0.392,0.335,-0.406,0.156
-1.177,0.937,-0.687,0.458,1851-03-01,-0.596,1.797,-0.683,1.292,-0.908,2.274,-0.687,0.519,-0.563,0.304,-0.417,0.174,-0.568,0.29,-0.404,0.16
-1.036,0.85,-0.6,0.463,1851-04-01,0.383,1.619,-0.573,1.241,-0.085,1.05,-0.601,0.494,-0.62,0.316,-0.379,0.176,-0.586,0.265,-0.371,0.162
-0.307,0.929,-0.581,0.484,1851-05-01,-1.455,2.477,-0.636,1.298,-1.05,0.702,-0.596,0.511,-0.328,0.339,-0.363,0.183,-0.344,0.284,-0.356,0.167
-0.302,0.667,-0.529,0.505,1851-06-01,-1.35,2.507,-0.672,1.269,-0.981,1.203,-0.59,0.612,-0.264,0.255,-0.334,0.191,-0.276,0.215,-0.33,0.173
-0.005,0.545,-0.546,0.57,1851-07-01,-1.882,3.214,-0.819,1.387,-1.06,1.622,-0.653,0.702,-0.22,0.226,-0.341,0.211,-0.247,0.182,-0.334,0.19
-0.334,0.583,-0.557,0.614,1851-08-01,-2.162,1.739,-0.891,1.518,-1.466,1.274,-0.684,0.854,-0.314,0.24,-0.349,0.225,-0.306,0.191,-0.342,0.201
-0.522,0.755,-0.597,0.623,1851-09-01,-0.345,1.572,-0.876,1.589,0.231,2.232,-0.721,0.965,-0.395,0.294,-0.365,0.23,-0.37,0.237,-0.357,0.203
-0.219,0.99,-0.584,0.618,1851-10-01,0.064,1.899,-1.149,1.606,-0.151,1.126,-0.985,0.97,-0.16,0.363,-0.357,0.228,-0.175,0.304,-0.35,0.202
-1.208,0.869,-0.573,0.62,1851-11-01,-1.321,1.733,-1.045,1.589,-1.09,1.117,-1.008,1.001,-0.392,0.332,-0.343,0.227,-0.324,0.276,-0.336,0.202
-0.498,0.838,-0.591,0.643,1851-12-01,-0.693,2.894,-0.931,1.465,-0.513,3.23,-0.988,0.935,-0.158,0.313,-0.331,0.235,-0.157,0.265,-0.322,0.208
-0.262,1.615,-0.601,0.646,1852-01-01,-1.126,2.253,-0.84,1.412,-0.797,2.194,-0.996,0.882,-0.251,0.543,-0.317,0.236,-0.256,0.478,-0.306,0.209
-0.8,1.227,-0.643,0.634,1852-02-01,-0.249,3.642,-0.719,1.444,-0.332,2.368,-0.944,0.859,-0.518,0.412,-0.321,0.232,-0.496,0.371,-0.306,0.207
-1.655,1.002,-0.659,0.631,1852-03-01,-0.408,2.575,-0.758,1.398,-1.36,1.444,-1.063,0.908,-0.763,0.344,-0.313,0.231,-0.748,0.306,-0.298,0.206
-0.887,0.943,-0.671,0.584,1852-04-01,-2.901,1.787,-0.831,1.431,-3.246,2.281,-1.122,0.902,-0.526,0.329,-0.315,0.217,-0.496,0.288,-0.298,0.193
-0.177,0.855,-0.697,0.566,1852-05-01,-0.204,2.426,-0.869,1.384,-1.325,1.205,-1.178,0.976,-0.153,0.31,-0.328,0.21,-0.181,0.266,-0.31,0.188
-0.511,0.77,-0.641,0.536,1852-06-01,0.022,1.107,-0.84,1.304,-0.751,0.554,-1.177,0.9,-0.125,0.291,-0.309,0.2,-0.111,0.242,-0.294,0.18
-0.129,0.541,-0.688,0.501,1852-07-01,-0.798,2.463,-0.714,1.272,-1.151,0.991,-1.102,0.826,-0.049,0.228,-0.318,0.189,-0.049,0.185,-0.301,0.171
-0.841,0.713,-0.71,0.486,1852-08-01,-0.707,1.257,-0.746,1.146,-0.845,1.017,-1.154,0.905,-0.355,0.279,-0.306,0.184,-0.305,0.226,-0.288,0.167
-0.706,0.602,-0.681,0.474,1852-09-01,-0.808,1.29,-0.79,1.122,-1.191,1.573,-1.196,0.901,-0.308,0.247,-0.275,0.18,-0.279,0.199,-0.257,0.164
-0.366,0.509,-0.665,0.474,1852-10-01,-0.809,1.492,-0.597,1.154,-0.859,1.243,-1.034,0.799,-0.177,0.223,-0.253,0.18,-0.176,0.174,-0.235,0.163
-1.522,0.771,-0.682,0.457,1852-11-01,-1.778,2.095,-0.612,1.141,-1.77,2.001,-1.016,0.752,-0.555,0.295,-0.262,0.175,-0.47,0.241,-0.242,0.159
0.17,0.708,-0.657,0.438,1852-12-01,-0.353,1.802,-0.619,1.117,-0.5,2.361,-1.02,0.729,0.069,0.262,-0.266,0.169,0.043,0.225,-0.249,0.153
-0.827,1.209,-0.628,0.421,1853-01-01,0.384,1.485,-0.582,1.03,0.106,1.542,-0.997,0.703,-0.36,0.42,-0.26,0.164,-0.343,0.362,-0.245,0.149
-1.055,1.284,-0.557,0.42,1853-02-01,-0.63,1.862,-0.534,0.979,-0.956,1.757,-1.016,0.686,-0.366,0.397,-0.235,0.163,-0.344,0.382,-0.225,0.148
-1.316,0.93,-0.547,0.407,1853-03-01,-0.929,2.311,-0.463,0.972,-1.867,1.261,-0.992,0.65,-0.398,0.317,-0.243,0.159,-0.373,0.284,-0.233,0.144
-0.686,0.842,-0.575,0.423,1853-04-01,-0.593,1.919,-0.41,0.942,-1.303,1.066,-1.039,0.702,-0.257,0.296,-0.269,0.163,-0.237,0.258,-0.257,0.148
-0.389,0.645,-0.565,0.428,1853-05-01,-0.384,1.803,-0.256,0.934,-1.11,0.81,-0.924,0.627,-0.259,0.247,-0.278,0.164,-0.264,0.206,-0.267,0.148
-0.209,0.604,-0.634,0.451,1853-06-01,-0.063,0.77,-0.272,0.9,-0.791,1.191,-1.011,0.538,-0.181,0.236,-0.312,0.171,-0.186,0.195,-0.299,0.153
0.218,0.538,-0.68,0.458,1853-07-01,-0.345,1.073,-0.327,0.971,-0.88,0.796,-1.137,0.556,0.024,0.218,-0.33,0.172,-0.001,0.178,-0.316,0.154
0.01,0.598,-0.703,0.423,1853-08-01,-0.141,0.648,-0.324,0.966,-1.076,0.8,-1.237,0.622,-0.059,0.242,-0.349,0.162,-0.069,0.192,-0.331,0.146
-0.578,0.519,-0.637,0.409,1853-09-01,0.045,1.218,-0.271,0.939,-0.893,0.652,-1.184,0.608,-0.403,0.217,-0.339,0.157,-0.376,0.172,-0.324,0.142
-0.7,0.702,-0.632,0.371,1853-10-01,-0.172,0.979,-0.307,0.891,-1.432,1.818,-1.23,0.605,-0.486,0.271,-0.35,0.146,-0.46,0.218,-0.334,0.133
-1.403,0.778,-0.623,0.371,1853-11-01,0.079,1.215,-0.29,0.831,-0.384,1.113,-1.226,0.642,-0.666,0.298,-0.351,0.146,-0.588,0.238,-0.335,0.133
-0.662,0.856,-0.674,0.373,1853-12-01,-0.55,1.03,-0.285,0.814,-1.551,1.319,-1.229,0.698,-0.338,0.304,-0.376,0.146,-0.347,0.26,-0.358,0.134
-1.376,1.189,-0.68,0.393,1854-01-01,-0.28,1.737,-0.183,0.713,-1.402,1.477,-1.196,0.71,-0.568,0.403,-0.394,0.152,-0.54,0.353,-0.376,0.138
-1.341,1.092,-0.693,0.405,1854-02-01,-0.586,1.84,-0.124,0.687,-2.153,1.607,-1.154,0.745,-0.603,0.361,-0.406,0.155,-0.533,0.326,-0.387,0.141
-0.516,0.768,-0.694,0.403,1854-03-01,-0.297,1.873,-0.194,0.681,-1.237,1.27,-1.181,0.778,-0.273,0.262,-0.394,0.154,-0.285,0.237,-0.375,0.14
-0.633,0.614,-0.585,0.388,1854-04-01,-1.027,1.403,-0.163,0.662,-1.845,0.947,-1.088,0.668,-0.384,0.237,-0.344,0.15,-0.352,0.196,-0.332,0.136
-0.279,0.616,-0.491,0.401,1854-05-01,-0.178,1.156,-0.248,0.673,-1.069,1.382,-1.227,0.68,-0.277,0.235,-0.309,0.153,-0.281,0.198,-0.302,0.139
-0.822,0.568,-0.441,0.376,1854-06-01,-0.008,0.7,-0.232,0.742,-0.822,1.007,-1.215,0.716,-0.48,0.224,-0.299,0.146,-0.466,0.186,-0.291,0.133
0.146,0.572,-0.314,0.404,1854-07-01,0.887,1.081,-0.204,0.635,-0.484,0.771,-1.166,0.632,-0.19,0.227,-0.256,0.155,-0.214,0.183,-0.253,0.14
-0.146,0.649,-0.216,0.378,1854-08-01,0.563,0.87,-0.289,0.716,-0.577,1.047,-1.257,0.674,-0.197,0.254,-0.216,0.147,-0.206,0.203,-0.219,0.133
-0.58,0.522,-0.225,0.369,1854-09-01,-0.794,1.532,-0.308,0.688,-1.22,1.171,-1.302,0.716,-0.258,0.219,-0.216,0.144,-0.223,0.173,-0.216,0.131
0.608,0.626,-0.143,0.368,1854-10-01,0.201,1.005,-0.226,0.65,-0.316,0.844,-1.26,0.712,0.105,0.253,-0.189,0.143,0.055,0.199,-0.192,0.131
-0.285,0.861,-0.123,0.365,1854-11-01,-0.938,1.443,-0.221,0.596,-2.041,1.306,-1.258,0.677,-0.243,0.321,-0.184,0.142,-0.23,0.26,-0.188,0.13
-0.059,1.334,-0.1,0.364,1854-12-01,-0.366,1.765,-0.301,0.631,-1.409,1.581,-1.277,0.646,-0.215,0.462,-0.174,0.141,-0.222,0.393,-0.177,0.13
0.146,1.512,-0.165,0.356,1855-01-01,0.067,1.416,-0.385,0.694,-0.815,1.772,-1.273,0.611,-0.051,0.52,-0.191,0.139,-0.084,0.443,-0.189,0.128
-0.164,1.297,-0.19,0.36,1855-02-01,-1.608,2.993,-0.475,0.751,-3.25,2.127,-1.317,0.612,-0.134,0.424,-0.195,0.14,-0.115,0.383,-0.192,0.129
-0.626,0.931,-0.22,0.367,1855-03-01,-0.531,1.456,-0.477,0.758,-1.774,1.254,-1.306,0.611,-0.267,0.312,-0.214,0.142,-0.26,0.28,-0.209,0.13
0.351,0.794,-0.333,0.371,1855-04-01,-0.046,1.051,-0.552,0.812,-1.347,0.953,-1.405,0.673,-0.064,0.279,-0.25,0.142,-0.065,0.244,-0.239,0.131
-0.038,0.807,-0.384,0.364,1855-05-01,-0.112,0.811,-0.504,0.737,-1.036,0.858,-1.331,0.689,-0.22,0.294,-0.263,0.14,-0.227,0.248,-0.249,0.13
-0.536,0.64,-0.509,0.363,1855-06-01,-0.966,1.05,-0.583,0.701,-1.052,0.514,-1.383,0.701,-0.351,0.233,-0.292,0.141,-0.333,0.202,-0.274,0.13
-0.635,0.576,-0.505,0.345,1855-07-01,-0.127,0.808,-0.654,0.778,-0.446,0.656,-1.447,0.804,-0.391,0.229,-0.287,0.137,-0.359,0.185,-0.271,0.126
-0.449,0.537,-0.572,0.416,1855-08-01,-0.519,0.842,-0.588,0.637,-1.096,1.028,-1.35,0.798,-0.255,0.222,-0.311,0.158,-0.24,0.175,-0.294,0.143
-0.945,0.511,-0.595,0.403,1855-09-01,-0.819,0.986,-0.607,0.655,-1.095,1.059,-1.415,0.882,-0.486,0.214,-0.323,0.155,-0.426,0.167,-0.309,0.139
-0.74,0.77,-0.658,0.392,1855-10-01,-0.699,1.277,-0.619,0.708,-1.497,1.586,-1.392,0.9,-0.321,0.289,-0.35,0.152,-0.303,0.236,-0.335,0.136
-0.897,0.725,-0.706,0.376,1855-11-01,-0.358,0.926,-0.678,0.755,-1.16,1.425,-1.41,0.886,-0.401,0.282,-0.36,0.147,-0.354,0.226,-0.343,0.132
-1.562,0.74,-0.659,0.374,1855-12-01,-1.315,1.372,-0.661,0.763,-2.029,1.654,-1.394,0.917,-0.561,0.281,-0.342,0.145,-0.525,0.23,-0.33,0.131
0.193,1.072,-0.615,0.354,1856-01-01,-0.788,1.391,-0.744,0.817,-1.585,1.746,-1.477,0.932,0,0.372,-0.332,0.139,-0.044,0.321,-0.322,0.127
-0.968,1.229,-0.65,0.358,1856-02-01,-0.813,1.534,-0.794,0.867,-2.081,1.783,-1.544,0.942,-0.415,0.408,-0.354,0.14,-0.398,0.363,-0.342,0.127
-0.902,0.928,-0.672,0.367,1856-03-01,-0.758,1.698,-0.741,0.948,-2.56,1.802,-1.604,0.983,-0.412,0.309,-0.374,0.142,-0.433,0.278,-0.361,0.129
-0.411,0.543,-0.707,0.366,1856-04-01,-0.19,1.462,-0.712,0.952,-1.074,1.082,-1.611,0.94,-0.394,0.212,-0.404,0.141,-0.382,0.175,-0.389,0.129
-0.615,0.654,-0.702,0.36,1856-05-01,-0.822,1.045,-0.833,1,-1.242,0.711,-1.779,0.912,-0.331,0.253,-0.42,0.139,-0.324,0.205,-0.407,0.127
0.03,0.665,-0.596,0.37,1856-06-01,-0.76,1.19,-0.837,1.031,-0.859,0.838,-1.806,0.919,-0.141,0.254,-0.411,0.142,-0.171,0.209,-0.401,0.129
-0.108,0.444,-0.676,0.369,1856-07-01,-1.127,1.727,-0.918,1.07,-1.445,0.643,-1.928,0.99,-0.262,0.194,-0.457,0.141,-0.267,0.15,-0.442,0.129
-0.863,0.7,-0.674,0.32,1856-08-01,-1.113,1.435,-0.773,1.08,-1.898,1.643,-1.672,0.929,-0.524,0.269,-0.47,0.127,-0.482,0.216,-0.453,0.117
-1.206,0.665,-0.672,0.326,1856-09-01,-0.183,1.514,-0.776,1.072,-1.824,1.557,-1.53,0.909,-0.721,0.261,-0.488,0.13,-0.646,0.205,-0.47,0.119
-1.166,0.46,-0.758,0.334,1856-10-01,-0.351,1.284,-0.825,1.117,-1.58,0.95,-1.556,0.936,-0.69,0.206,-0.522,0.131,-0.644,0.154,-0.499,0.12
-0.832,0.68,-0.827,0.333,1856-11-01,-1.812,1.328,-0.89,1.21,-3.174,1.337,-1.616,0.941,-0.594,0.262,-0.557,0.131,-0.563,0.213,-0.53,0.12
-0.289,0.752,-0.906,0.344,1856-12-01,-1.363,1.658,-0.965,1.236,-2.356,1.789,-1.709,0.934,-0.453,0.275,-0.592,0.135,-0.462,0.231,-0.56,0.123
-0.774,1.037,-0.942,0.363,1857-01-01,-1.763,1.937,-0.934,1.138,-3.043,2.619,-1.695,0.901,-0.546,0.361,-0.614,0.14,-0.535,0.309,-0.579,0.127
-0.937,0.797,-0.924,0.375,1857-02-01,0.925,1.657,-0.847,1.094,0.989,1.597,-1.642,0.842,-0.571,0.279,-0.609,0.143,-0.524,0.243,-0.575,0.13
-0.88,0.913,-0.899,0.385,1857-03-01,-0.788,1.525,-0.87,1.042,-0.851,1.876,-1.575,0.824,-0.629,0.302,-0.589,0.146,-0.635,0.274,-0.558,0.132
-1.445,0.617,-0.884,0.391,1857-04-01,-0.78,1.978,-0.846,1.066,-1.39,1.346,-1.492,0.821,-0.8,0.234,-0.577,0.148,-0.738,0.194,-0.547,0.134
-1.441,0.59,-0.88,0.403,1857-05-01,-1.604,2.029,-0.763,1.179,-1.957,0.842,-1.419,0.785,-0.747,0.232,-0.57,0.152,-0.689,0.189,-0.54,0.137
-0.921,0.564,-0.859,0.397,1857-06-01,-1.661,1.658,-0.592,1.194,-1.979,0.744,-1.179,0.726,-0.57,0.217,-0.553,0.151,-0.538,0.179,-0.523,0.135
-0.54,0.464,-0.796,0.387,1857-07-01,-0.746,1.045,-0.351,1.152,-1.275,0.988,-0.882,0.629,-0.523,0.197,-0.527,0.148,-0.488,0.153,-0.499,0.133
-0.647,0.504,-0.8,0.384,1857-08-01,-0.073,0.86,-0.462,1.163,-1.262,0.633,-1.121,0.572,-0.461,0.213,-0.522,0.147,-0.434,0.163,-0.495,0.132
-0.907,0.653,-0.763,0.353,1857-09-01,-0.46,0.974,-0.414,1.118,-1.025,1.393,-1.14,0.505,-0.488,0.258,-0.496,0.138,-0.443,0.204,-0.471,0.124
-0.979,0.477,-0.641,0.327,1857-10-01,-0.065,1.291,-0.376,1.057,-0.584,0.986,-1.142,0.459,-0.543,0.212,-0.451,0.132,-0.512,0.158,-0.432,0.118
-0.793,0.769,-0.551,0.317,1857-11-01,-0.816,2.285,-0.296,1.018,-2.29,1.962,-1.112,0.446,-0.513,0.292,-0.423,0.13,-0.483,0.235,-0.408,0.116
-0.035,0.787,-0.491,0.31,1857-12-01,0.694,1.892,-0.168,0.991,0.524,1.464,-1.004,0.471,-0.243,0.291,-0.398,0.128,-0.264,0.241,-0.387,0.115
-0.01,1.157,-0.484,0.315,1858-01-01,1.123,1.674,-0.125,1.084,0.515,1.484,-0.942,0.506,-0.236,0.403,-0.382,0.13,-0.241,0.343,-0.372,0.117
-0.993,0.797,-0.476,0.308,1858-02-01,-0.405,1.691,-0.122,1.16,-1.879,1.414,-0.891,0.509,-0.513,0.282,-0.371,0.128,-0.477,0.244,-0.36,0.115
-0.436,0.73,-0.471,0.305,1858-03-01,-0.203,1.17,-0.078,1.191,-1.071,0.909,-0.866,0.549,-0.31,0.248,-0.371,0.127,-0.349,0.224,-0.358,0.115
0.027,0.681,-0.423,0.315,1858-04-01,-0.33,1.072,-0.033,1.145,-1.415,1.07,-0.807,0.558,-0.266,0.247,-0.35,0.13,-0.269,0.211,-0.339,0.117
-0.363,0.645,-0.367,0.295,1858-05-01,-0.638,1.414,-0.086,1.121,-1.605,0.888,-0.758,0.556,-0.405,0.249,-0.323,0.125,-0.402,0.204,-0.315,0.113
-0.2,0.607,-0.457,0.323,1858-06-01,-0.127,1.394,-0.194,1.063,-0.681,0.922,-0.85,0.578,-0.271,0.235,-0.346,0.131,-0.279,0.194,-0.334,0.119
-0.463,0.54,-0.505,0.299,1858-07-01,-0.234,1.475,-0.294,1.018,-0.532,0.922,-0.894,0.598,-0.331,0.223,-0.357,0.125,-0.312,0.178,-0.343,0.114
-0.546,0.582,-0.468,0.307,1858-08-01,-0.037,1.71,-0.212,0.898,-0.653,0.681,-0.644,0.536,-0.328,0.238,-0.341,0.128,-0.293,0.186,-0.326,0.115
-0.854,0.563,-0.461,0.308,1858-09-01,0.07,1.179,-0.223,0.878,-0.72,1.189,-0.579,0.575,-0.49,0.23,-0.336,0.127,-0.418,0.18,-0.317,0.116
-0.403,0.512,-0.43,0.298,1858-10-01,0.474,0.859,-0.181,0.917,0.126,1,-0.549,0.566,-0.294,0.219,-0.311,0.125,-0.277,0.167,-0.293,0.114
-0.116,0.592,-0.376,0.301,1858-11-01,-1.453,1.737,-0.082,0.859,-1.702,1.513,-0.397,0.563,-0.191,0.24,-0.276,0.126,-0.195,0.188,-0.262,0.114
-1.112,0.763,-0.365,0.303,1858-12-01,-0.608,1.503,-0.119,0.881,-0.584,1.273,-0.37,0.543,-0.51,0.276,-0.264,0.127,-0.493,0.234,-0.249,0.114
-0.592,0.875,-0.354,0.287,1859-01-01,-0.077,1.271,-0.16,0.876,-0.009,1.43,-0.415,0.525,-0.377,0.311,-0.263,0.122,-0.347,0.265,-0.248,0.111
-0.542,0.802,-0.35,0.28,1859-02-01,0.58,1.234,-0.171,0.804,1.118,1.593,-0.395,0.532,-0.32,0.282,-0.266,0.12,-0.274,0.244,-0.252,0.109
-0.362,0.77,-0.354,0.274,1859-03-01,-0.331,1.25,-0.237,0.814,-0.29,1.403,-0.394,0.499,-0.243,0.248,-0.269,0.119,-0.244,0.237,-0.258,0.108
0.409,0.559,-0.34,0.271,1859-04-01,0.172,1.538,-0.293,0.864,-1.048,0.811,-0.484,0.48,0.028,0.225,-0.265,0.118,0.015,0.181,-0.256,0.107
0.275,0.659,-0.345,0.272,1859-05-01,0.552,1.127,-0.194,0.823,0.218,0.816,-0.381,0.433,0.02,0.241,-0.266,0.119,-0.023,0.205,-0.256,0.108
-0.064,0.579,-0.276,0.292,1859-06-01,-0.567,1.529,-0.242,0.897,-0.362,0.878,-0.48,0.404,-0.126,0.227,-0.233,0.124,-0.13,0.184,-0.226,0.112
-0.326,0.381,-0.288,0.318,1859-07-01,-0.726,1.489,-0.187,0.914,-1.072,0.732,-0.483,0.412,-0.326,0.175,-0.23,0.131,-0.298,0.134,-0.225,0.118
-0.506,0.406,-0.301,0.342,1859-08-01,-0.175,1.116,-0.281,1.011,-0.416,0.716,-0.679,0.46,-0.358,0.187,-0.231,0.136,-0.342,0.142,-0.228,0.123
-0.897,0.483,-0.427,0.413,1859-09-01,-0.723,1.325,-0.251,0.977,-0.709,0.839,-0.691,0.463,-0.529,0.205,-0.268,0.155,-0.482,0.161,-0.262,0.14
-0.241,0.59,-0.493,0.416,1859-10-01,-0.193,1.333,-0.306,0.961,-0.95,0.951,-0.651,0.437,-0.251,0.243,-0.292,0.156,-0.256,0.189,-0.283,0.141
-0.166,0.573,-0.532,0.413,1859-11-01,-0.264,1.241,-0.379,0.92,-0.465,0.898,-0.752,0.43,-0.203,0.234,-0.31,0.155,-0.193,0.184,-0.3,0.141
-0.289,1.173,-0.538,0.404,1859-12-01,-1.182,2.038,-0.316,0.851,-1.775,1.367,-0.744,0.452,-0.106,0.398,-0.318,0.152,-0.14,0.348,-0.308,0.139
-0.743,0.955,-0.519,0.409,1860-01-01,0.576,1.37,-0.32,0.855,-0.04,1.543,-0.74,0.448,-0.35,0.346,-0.314,0.153,-0.328,0.287,-0.307,0.14
-0.694,1.006,-0.475,0.414,1860-02-01,-0.549,1.686,-0.325,0.888,-1.231,1.115,-0.788,0.436,-0.331,0.325,-0.302,0.154,-0.314,0.302,-0.298,0.141
-1.872,0.931,-0.421,0.412,1860-03-01,0.033,1.224,-0.307,0.911,-0.437,1.222,-0.809,0.434,-0.684,0.319,-0.283,0.154,-0.655,0.281,-0.283,0.141
-0.385,0.498,-0.445,0.403,1860-04-01,-0.493,1.2,-0.362,0.904,-0.577,0.909,-0.813,0.435,-0.255,0.202,-0.293,0.152,-0.238,0.165,-0.29,0.138
-0.195,0.756,-0.524,0.407,1860-05-01,-0.315,0.824,-0.367,0.877,-0.992,1.151,-0.867,0.459,-0.205,0.268,-0.321,0.153,-0.219,0.232,-0.316,0.14
-0.126,0.429,-0.668,0.381,1860-06-01,0.187,0.825,-0.352,0.855,-0.264,0.816,-0.859,0.469,-0.213,0.185,-0.385,0.144,-0.228,0.148,-0.373,0.134
-0.105,0.622,-0.783,0.376,1860-07-01,-0.78,1.475,-0.471,0.86,-1.019,0.715,-0.991,0.429,-0.279,0.247,-0.441,0.143,-0.288,0.197,-0.426,0.133
0.021,0.508,-0.807,0.36,1860-08-01,-0.229,1.205,-0.435,0.83,-0.989,0.623,-0.968,0.469,-0.219,0.22,-0.47,0.14,-0.239,0.173,-0.453,0.129
-0.251,0.446,-0.72,0.318,1860-09-01,-0.511,1.756,-0.5,0.848,-0.965,0.702,-1.049,0.5,-0.303,0.199,-0.461,0.13,-0.293,0.157,-0.446,0.12
-0.527,0.441,-0.747,0.307,1860-10-01,-0.852,1.318,-0.527,0.8,-1,0.77,-1.097,0.504,-0.362,0.201,-0.474,0.129,-0.345,0.155,-0.455,0.118
-1.115,0.648,-0.795,0.313,1860-11-01,-0.319,1.268,-0.631,0.834,-1.11,1.131,-1.161,0.476,-0.542,0.251,-0.493,0.132,-0.501,0.205,-0.471,0.121
-2.019,0.954,-0.821,0.31,1860-12-01,-1.003,1.692,-0.602,0.837,-1.68,1.184,-1.174,0.429,-0.875,0.327,-0.507,0.133,-0.826,0.287,-0.484,0.123
-2.121,1.083,-0.835,0.309,1861-01-01,-0.861,1.549,-0.556,0.795,-1.62,1.349,-1.15,0.42,-1.02,0.387,-0.512,0.135,-0.961,0.322,-0.488,0.126
-0.98,0.8,-0.841,0.311,1861-02-01,-0.111,2.045,-0.55,0.755,-0.959,1.702,-1.141,0.414,-0.677,0.283,-0.511,0.137,-0.644,0.246,-0.487,0.128
-0.831,0.773,-0.878,0.319,1861-03-01,-0.748,0.969,-0.478,0.723,-1.418,1.696,-1.141,0.423,-0.579,0.259,-0.52,0.14,-0.567,0.243,-0.494,0.131
-0.71,0.613,-0.909,0.313,1861-04-01,-0.817,0.96,-0.343,0.711,-1.147,0.915,-1.108,0.431,-0.408,0.234,-0.53,0.139,-0.349,0.206,-0.503,0.131
-0.762,0.534,-0.837,0.284,1861-05-01,-1.566,1.2,-0.329,0.708,-1.759,0.838,-1.086,0.41,-0.436,0.226,-0.505,0.133,-0.415,0.196,-0.478,0.126
-0.442,0.539,-0.727,0.26,1861-06-01,0.535,0.741,-0.236,0.636,-0.418,0.652,-1.018,0.432,-0.379,0.232,-0.463,0.128,-0.378,0.204,-0.439,0.123
-0.276,0.417,-0.722,0.258,1861-07-01,-0.231,0.905,-0.296,0.585,-0.734,0.601,-1.099,0.482,-0.339,0.208,-0.457,0.127,-0.338,0.176,-0.431,0.123
-0.044,0.464,-0.774,0.243,1861-08-01,-0.153,1.337,-0.407,0.591,-0.878,0.626,-1.278,0.456,-0.208,0.215,-0.466,0.125,-0.225,0.175,-0.439,0.121
-0.696,0.495,-0.79,0.249,1861-09-01,0.359,1.19,-0.38,0.604,-0.964,0.606,-1.299,0.421,-0.418,0.219,-0.464,0.126,-0.379,0.18,-0.436,0.122
-0.907,0.416,-0.822,0.263,1861-10-01,0.762,1.187,-0.363,0.627,-0.607,0.82,-1.316,0.397,-0.484,0.201,-0.476,0.129,-0.448,0.158,-0.447,0.124
